"TOA5","036_WAN","CR800","45590","CR800.Std.32.05","CPU:Acker_V2_72b.CR8","42956","LTZ"
"TIMESTAMP","RECORD","AirTC_Avg","RH_Avg","Rain_mm_Tot","SlrW_Avg","LWmV_Avg","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","T107_C_Avg","T107_C_SOIL_Avg","VWC_Avg","EC_Max","TB20_Avg","WS_ms_Max"
"TS","RN","Deg C","%","mm","W/m^2","mV","meters/second","Deg","Deg","Deg C","","l/l","dS/m","","meters/second"
"","","Avg","Avg","Tot","Avg","Avg","WVc","WVc","WVc","Avg","Avg","Avg","Max","Avg","Max"
"2024-01-01 00:00:00",28758,3.769,93.4,0,0.078,267.5,1.01,267.4,17.26,"NAN","NAN","NAN",0,0,2.17
"2024-01-01 20:10:00",	28879,	4.504,	88.5,	0,	0.044,	266.2,	1.486,	290.2,	11.37,	"NAN",	"NAN",	"NAN",	0,	0,	2.59
"2024-01-01 20:20:00",	28880,	4.497,	88.3,	0,	0.056,	266.2,	1.296,	294.1,	12.81,	"NAN",	"NAN",	"NAN",	0,	0,	3.23
"2024-01-01 20:30:00",	28881,	4.416,	88.9,	0,	0.083,	266.6,	1.256,	297.2,	17.48,	"NAN",	"NAN",	"NAN",	0,	0,	2.32
"2024-01-01 20:40:00",	28882,	4.557,	87.7,	0,	0.011,	266.4,	1.181,	296.8,	14.11,	"NAN",	"NAN",	"NAN",	0,	0,	2.42
"2024-01-01 20:50:00",	28883,	4.585,	87.6,	0,	0.155,	266.5,	1.346,	289.4,	13.56,	"NAN",	"NAN",	"NAN",	0,	0,	2.37
"2024-01-01 21:00:00",	28884,	4.618,	87.1,	0,	0.122,	266.2,	1.339,	296.3,	10.57,	"NAN",	"NAN",	"NAN",	0,	0,	2
"2024-01-01 21:10:00",	28885,	4.564,	86.9,	0,	0.067,	266.3,	1.15,	290.5,	11.98,	"NAN",	"NAN",	"NAN",	0,	0,	2.04
"2024-01-01 21:20:00",	28886,	4.594,	86.7,	0,	0.061,	266.3,	1.407,	282.4,	12.14,	"NAN",	"NAN",	"NAN",	0,	0,	3
"2024-01-01 21:30:00",	28887,	4.717,	85.8,	0,	0.133,	266.2,	1.565,	281.8,	11.64,	"NAN",	"NAN",	"NAN",	0,	0,	2.82
"2024-01-01 21:40:00",	28888,	4.641,	85.9,	0,	0.028,	266.2,	1.792,	282.6,	9.83,	"NAN",	"NAN",	"NAN",	0,	0,	3.14
